Date,Sensor Glucose (mmol/L),
09/01/2022 19:07,6.4,
09/01/2022 19:12,6.7,
09/01/2022 19:17,6.7,
09/01/2022 19:22,6.6,
09/01/2022 19:27,6.7,
09/01/2022 19:57,6.8,
09/01/2022 20:02,6.8,
09/01/2022 20:07,6.7,
09/01/2022 20:12,6.7,
09/01/2022 20:17,7,
09/01/2022 20:22,7.7,
09/01/2022 20:27,8.4,
09/01/2022 20:32,8.6,
09/01/2022 20:37,8.5,
09/01/2022 20:42,7.9,
09/01/2022 20:47,7.5,
09/01/2022 20:52,7.5,
09/01/2022 20:57,7.7,
09/01/2022 21:02,7.9,
09/01/2022 21:07,8.3,
09/01/2022 21:12,9,
09/01/2022 21:17,9.8,
09/01/2022 21:22,10.5,
09/01/2022 21:27,11.2,
09/01/2022 21:32,11.8,
09/01/2022 21:37,12.3,
09/01/2022 21:42,12.8,
09/01/2022 21:47,13.2,
09/01/2022 21:52,13.4,
09/01/2022 21:57,13.7,
09/01/2022 22:02,14.2,
09/01/2022 22:07,14.6,
09/01/2022 22:12,14.7,
09/01/2022 22:17,14.8,
09/01/2022 22:22,15,
09/01/2022 22:27,14.8,
09/01/2022 22:32,14.5,
09/01/2022 22:37,14.5,
09/01/2022 22:42,14.5,
09/01/2022 22:47,14.6,
09/01/2022 22:52,14.9,
09/01/2022 22:57,15.3,
09/01/2022 23:02,15.8,
09/01/2022 23:07,16.2,
09/01/2022 23:12,16.4,
09/01/2022 23:17,16.5,
09/01/2022 23:22,16.4,
09/01/2022 23:27,16.2,
09/01/2022 23:32,16,
09/01/2022 23:37,15.7,
09/01/2022 23:42,15.1,
09/01/2022 23:47,14.7,
09/01/2022 23:52,14.5,
09/01/2022 23:57,14.8,
09/02/2022 00:02,15,
09/02/2022 00:07,15.1,
09/02/2022 00:12,15.2,
09/02/2022 00:17,15.3,
09/02/2022 00:27,15.3,
09/02/2022 00:32,15,
09/02/2022 00:37,14.8,
09/02/2022 00:42,14.8,
09/02/2022 00:47,14.9,
09/02/2022 00:52,14.8,
09/02/2022 00:57,14.7,
09/02/2022 01:02,14.8,
09/02/2022 01:07,14.8,
09/02/2022 01:12,14.8,
09/02/2022 01:17,14.6,
09/02/2022 01:22,14.4,
09/02/2022 01:27,14.4,
09/02/2022 01:32,14.4,
09/02/2022 01:37,14.3,
09/02/2022 01:42,14.3,
09/02/2022 01:47,14.2,
09/02/2022 01:52,14.2,
09/02/2022 01:57,14,
09/02/2022 02:02,14,
09/02/2022 02:07,13.8,
09/02/2022 02:12,13.6,
09/02/2022 02:17,13.3,
09/02/2022 02:22,13.1,
09/02/2022 02:27,12.8,
09/02/2022 02:32,12.4,
09/02/2022 02:37,11.7,
09/02/2022 02:42,11.9,
09/02/2022 02:47,12.2,
09/02/2022 02:52,12.4,
09/02/2022 02:57,12.6,
09/02/2022 03:02,12.5,
09/02/2022 03:07,12.5,
09/02/2022 03:12,12.4,
09/02/2022 03:17,12.3,
09/02/2022 03:22,12.2,
09/02/2022 03:27,12.2,
09/02/2022 03:32,12.2,
09/02/2022 03:37,12.3,
09/02/2022 03:42,12.2,
09/02/2022 03:47,11.8,
09/02/2022 03:52,11.7,
09/02/2022 03:57,11.6,
09/02/2022 04:02,11.7,
09/02/2022 04:07,11.8,
09/02/2022 04:12,11.8,
09/02/2022 04:17,11.8,
09/02/2022 04:22,11.8,
09/02/2022 04:27,11.6,
09/02/2022 04:32,11.6,
09/02/2022 04:37,11.7,
09/02/2022 04:42,11.8,
09/02/2022 04:47,11.9,
09/02/2022 04:52,11.9,
09/02/2022 04:57,11.9,
09/02/2022 05:02,11.9,
09/02/2022 05:07,11.9,
09/02/2022 05:12,11.8,
09/02/2022 05:17,11.7,
09/02/2022 05:22,11.8,
09/02/2022 05:27,11.9,
09/02/2022 05:32,12.1,
09/02/2022 05:37,12.3,
09/02/2022 05:42,12.4,
09/02/2022 05:47,12.3,
09/02/2022 05:52,12,
09/02/2022 05:57,11.9,
09/02/2022 06:02,11.8,
09/02/2022 06:07,11.9,
09/02/2022 06:12,12,
09/02/2022 06:17,12.2,
09/02/2022 06:22,12.3,
09/02/2022 06:27,12.4,
09/02/2022 06:32,12.8,
09/02/2022 06:37,12.8,
09/02/2022 06:42,12.8,
09/02/2022 06:47,12.6,
09/02/2022 06:52,12.3,
09/02/2022 06:57,11.9,
09/02/2022 07:02,11.6,
09/02/2022 07:07,11.1,
09/02/2022 07:12,10.5,
09/02/2022 07:17,10.1,
09/02/2022 07:22,9.8,
09/02/2022 07:27,9.5,
09/02/2022 07:32,9.2,
09/02/2022 07:37,8.8,
09/02/2022 07:42,8.4,
09/02/2022 07:47,8.1,
09/02/2022 07:52,8,
09/02/2022 07:57,8.1,
09/02/2022 08:02,8.4,
09/02/2022 08:07,8.8,
09/02/2022 08:12,9.8,
09/02/2022 08:17,9.9,
09/02/2022 08:22,10.3,
09/02/2022 08:27,10.6,
09/02/2022 08:32,10.7,
09/02/2022 08:37,10.7,
09/02/2022 08:42,10.7,
09/02/2022 08:47,10.9,
09/02/2022 08:52,11.5,
09/02/2022 08:57,12.3,
09/02/2022 09:02,12.8,
09/02/2022 09:07,13.4,
09/02/2022 09:12,14.3,
09/02/2022 09:17,14.7,
09/02/2022 09:22,16,
09/02/2022 09:27,16.6,
09/02/2022 09:32,16.8,
09/02/2022 09:37,17.2,
09/02/2022 09:42,17.5,
09/02/2022 09:47,17.8,
09/02/2022 09:57,17.7,
09/02/2022 10:02,17.7,
09/02/2022 10:07,17.6,
09/02/2022 10:12,17.5,
09/02/2022 10:17,18,
09/02/2022 10:22,18,
09/02/2022 10:27,17.5,
09/02/2022 10:27,17.8,
09/02/2022 10:32,17,
09/02/2022 10:37,16.5,
09/02/2022 10:47,16.1,
09/02/2022 10:52,15.1,
09/02/2022 10:57,15,
09/02/2022 11:02,14.7,
09/02/2022 11:07,14.2,
09/02/2022 11:12,13.7,
09/02/2022 11:17,13.3,
09/02/2022 11:27,13,
09/02/2022 11:32,12.7,
09/02/2022 11:37,12.4,
09/02/2022 11:42,12,
09/02/2022 11:47,11.6,
09/02/2022 11:52,11.1,
09/02/2022 11:57,10,
09/02/2022 12:02,9.8,
09/02/2022 12:07,9,
09/02/2022 12:12,8.4,
09/02/2022 12:17,8.3,
09/02/2022 12:22,8,
09/02/2022 12:27,8.6,
09/02/2022 12:32,9.2,
09/02/2022 12:37,9.7,
09/02/2022 12:42,10,
09/02/2022 12:47,10.2,
09/02/2022 12:52,10.5,
09/02/2022 12:57,10.8,
09/02/2022 13:02,11,
09/02/2022 13:07,11.3,
09/02/2022 13:12,11.5,
09/02/2022 13:17,11.8,
09/02/2022 13:22,12,
09/02/2022 13:27,12,
09/02/2022 13:32,11.8,
09/02/2022 13:37,11.8,
09/02/2022 13:42,11.8,
09/02/2022 13:47,12.2,
09/02/2022 13:52,12.6,
09/02/2022 13:57,12.5,
09/02/2022 14:02,12.2,
09/02/2022 14:07,11.7,
09/02/2022 14:12,10.8,
09/02/2022 14:17,10.3,
09/02/2022 14:22,9.9,
09/02/2022 14:27,9.6,
09/02/2022 14:32,9.7,
09/02/2022 14:37,9.8,
